Binomial,Intro,Est,Spread,NoLocs,LG,BM,GT,WA,NBM,LS,LY,AFB,RL,OV
Abditomys_latidens,0,NA,NA,NA,NA,268.09,NA,NA,NA,NA,NA,NA,NA,NA
Abeomelomys_sevia,0,NA,NA,NA,NA,54.88,NA,NA,NA,1,NA,NA,NA,NA
Abrawayaomys_ruschii,0,NA,NA,NA,NA,62.99,NA,NA,NA,NA,NA,NA,NA,NA
Abrocoma_bennettii,0,NA,NA,NA,2.3,250.5,NA,NA,NA,4.86,NA,NA,NA,NA
Abrocoma_boliviensis,0,NA,NA,NA,NA,158,NA,NA,NA,NA,NA,NA,NA,NA
Abrocoma_cinerea,0,NA,NA,NA,NA,193.64,109.49,NA,13.26,2.19,NA,NA,NA,NA
Abrothrix_andinus,0,NA,NA,NA,NA,24.91,NA,NA,NA,NA,NA,NA,NA,NA
Abrothrix_illuteus,0,NA,NA,NA,NA,47.79,NA,NA,NA,NA,NA,NA,NA,NA
Abrothrix_jelskii,0,NA,NA,NA,NA,34.5,NA,NA,NA,NA,NA,NA,NA,NA
Abrothrix_lanosus,0,NA,NA,NA,NA,27.83,NA,NA,NA,NA,NA,NA,NA,NA
Abrothrix_longipilis,0,NA,NA,NA,NA,38.86,NA,NA,3.29,3.7,2.5,112.3,NA,NA
Abrothrix_olivaceus,0,NA,NA,NA,1,24.52,NA,NA,NA,5.34,2,212.9166667,152.0833333,1.2
Abrothrix_sanborni,0,NA,NA,NA,NA,24.7,NA,NA,NA,NA,NA,NA,NA,NA
Acerodon_celebensis,0,NA,NA,NA,NA,384.84,NA,NA,NA,0.98,NA,NA,NA,NA
Acerodon_jubatus,0,NA,NA,NA,NA,1087.04,NA,NA,NA,1,1,NA,NA,NA
Acerodon_mackloti,0,NA,NA,NA,NA,467.93,NA,NA,NA,0.98,NA,NA,NA,NA
Acinonyx_jubatus,0,NA,NA,NA,20.5,50577.92,92.24,91.42,441.66,3.28,0.65,1217.27,6265.23,0.089627749
Acomys_cahirinus,1,1,NA,2,5.9,41.16,38.54,14,5.49,2.43,7.6,103,2050.5,0.023421758
Acomys_cilicicus,0,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acomys_kempi,0,NA,NA,NA,NA,21.99,NA,NA,NA,NA,NA,NA,NA,NA
Acomys_louisae,0,NA,NA,NA,NA,20.19,NA,NA,NA,NA,NA,NA,NA,NA
