Species,Binomial2,Order,Over500gr,Family,NeoBrain,NeoBody,AdultBrain,AdultBody,Gestation,GenTime,RefBrain,RefBody,RefGestation,BrainRatio,BodyRatio
Alouatta_palliata,Alouatta_palliata,Primates,Others,Atelidae,30.8,440,54,5495,185,4.324,"Sacher & Staffeldt, 1974",Barton & Capellini 2011,PanTHERIA,0.57037037,0.080072793
Ammotragus_lervia,Ammotragus_lervia,Artiodactyla,Others,Bovidae,92,3730,210,67608,158,1.389,"Sacher & Staffeldt, 1974",Barton & Capellini 2011,"Sacher & Staffeldt, 1974",0.438095238,0.055170986
Antilope_cervicapra,Antilope_cervicapra,Artiodactyla,Others,Bovidae,62,2740,200,34995,167,1.277,"Sacher & Staffeldt, 1974",Barton & Capellini 2011,"Sacher & Staffeldt, 1974",0.31,0.0782969
Aotus_trivirgatus,Aotus_trivirgatus,Primates,Others,Aotidae,10.1,98,18.2,868,133,2.018,"Harvey & Clutton-Brock, 1985",Grunstra et al 2019,"Harvey & Clutton-Brock, 1985",0.554945055,0.112903226
Arctocebus_calabarensis,Arctocebus_calabarensis,Primates,Others,Lorisidae,2.3,25.2,7.7,264,134,0.819,"Harvey & Clutton-Brock, 1985",Barton & Capellini 2011,PanTHERIA,0.298701299,0.095454545
Ateles_fusciceps,Ateles_fusciceps,Primates,Others,Atelidae,58,407,114,9100,225,4.931,"Sacher & Staffeldt, 1974","Sacher & Staffeldt, 1974",PanTHERIA,0.50877193,0.044725275
Ateles_geoffroyi,Ateles_geoffroyi,Primates,Others,Atelidae,64,512,109,7656,226,5.766,"Sacher & Staffeldt, 1974",Barton & Capellini 2011,PanTHERIA,0.587155963,0.066875653
Axis_axis,Axis_axis,Artiodactyla,Others,Cervidae,78.6,3156.86,219,50003,227,1.49,"Sacher & Staffeldt, 1974",Barton & Capellini 2011,PanTHERIA,0.35890411,0.063133412
Bos_grunniens,Bos_grunniens,Artiodactyla,Others,Bovidae,187,18000,334,306196,255,2.069,"Sacher & Staffeldt, 1974",Barton & Capellini 2011,"Sacher & Staffeldt, 1974",0.55988024,0.058785876
Bos_taurus,Bos_taurus,Artiodactyla,Others,Bovidae,199,25000,456,483059,280,2.069,"Sacher & Staffeldt, 1974",Barton & Capellini 2011,"Sacher & Staffeldt, 1974",0.436403509,0.051753513
Callimico_goeldii,Callimico_goeldii,Primates,Others,Cebidae,5.8,48.6,10.8,536,154,1.134,"Harvey & Clutton-Brock, 1985",Grunstra et al 2019,"Harvey & Clutton-Brock, 1985",0.537037037,0.090671642
Callithrix_geoffroyi,Callithrix_geoffroyi,Primates,Others,Cebidae,3.7,35.3,7.8,275,145,1.249,"Sacher & Staffeldt, 1974",Barton & Capellini 2011,"Sacher & Staffeldt, 1974",0.474358974,0.128363636
Callithrix_jacchus,Callithrix_jacchus,Primates,Others,Cebidae,4.4,28,7.9,301,148,1.249,"Harvey & Clutton-Brock, 1985",Barton & Capellini 2011,"Harvey & Clutton-Brock, 1985",0.556962025,0.093023256
Callorhinus_ursinus,Callorhinus_ursinus,Carnivora,Arctoids,Otariidae,198,4410,355,42170,358,4.613,"Sacher & Staffeldt, 1974",Barton & Capellini 2011,PanTHERIA,0.557746479,0.104576713
Canis_lupus,Canis_lupus,Carnivora,Others,Canidae,35.4,412.31,120.23,31117,64,1.861,Barton & Capellini 2011,Barton & Capellini 2011,PanTHERIA,0.294435665,0.013250313
Capra_hircus,Capra_hircus,Artiodactyla,Others,Bovidae,61.2,2180,106,23335,151,1.495,"Sacher & Staffeldt, 1974",Barton & Capellini 2011,"Sacher & Staffeldt, 1974",0.577358491,0.093421898
Capreolus_capreolus,Capreolus_capreolus,Artiodactyla,Others,Cervidae,34.36,1208.55,64.42,24660,196,1.099,Barton & Capellini 2011,Barton & Capellini 2011,PanTHERIA,0.533374728,0.049008516
Castor_canadensis,Castor_canadensis,Rodentia,Others,Castoridae,13.9,472,40,13002,128,1.816,"Sacher & Staffeldt, 1974",Barton & Capellini 2011,"Sacher & Staffeldt, 1974",0.3475,0.036302107
Castor_fiber,Castor_fiber,Rodentia,Others,Castoridae,13.8,340,45,20091,106,2.835,"Sacher & Staffeldt, 1974",Barton & Capellini 2011,PanTHERIA,0.306666667,0.016923
Cavia_porcellus,Cavia_porcellus,Rodentia,Others,Caviidae,2.52,97,4.28,592,67,0.188,"Sacher & Staffeldt, 1974",Barton & Capellini 2011,"Sacher & Staffeldt, 1974",0.588785047,0.163851351
Cebus_albifrons,Cebus_albifrons,Primates,Others,Cebidae,33.65,231.92,70.96,2133,158,4.114,Barton & Capellini 2011,Barton & Capellini 2011,PanTHERIA,0.474210823,0.108729489
Cebus_capucinus,Cebus_capucinus,Primates,Others,Cebidae,29,250,73,2786,180,5.849,"Sacher & Staffeldt, 1974",Barton & Capellini 2011,"Sacher & Staffeldt, 1974",0.397260274,0.089734386
Cephalophus_dorsalis,Cephalophus_dorsalis,Artiodactyla,Others,Bovidae,39.1,1611.37,93,11588,238,1.5,"Sacher & Staffeldt, 1974",Barton & Capellini 2011,PanTHERIA,0.420430108,0.139055057
Cercocebus_torquatus,Cercocebus_torquatus,Primates,Others,Cercopithecidae,57.54,474.24,139.96,6194,167,3.613,Barton & Capellini 2011,Barton & Capellini 2011,PanTHERIA,0.411117462,0.076564417
Cervus_elaphus,Cervus_elaphus,Artiodactyla,Others,Cervidae,155.96,8255.82,297.17,203704,236,1.808,Barton & Capellini 2011,Barton & Capellini 2011,PanTHERIA,0.524817445,0.040528512
Cervus_nippon,Cervus_nippon,Artiodactyla,Others,Cervidae,86.3,4277.11,200.91,28642,224,1.42,Barton & Capellini 2011,Barton & Capellini 2011,PanTHERIA,0.429545568,0.149330005
Chinchilla_lanigera,Chinchilla_lanigera,Rodentia,Others,Chinchillidae,2.03,28,5.25,800,110,0.609,"Sacher & Staffeldt, 1974",Barton & Capellini 2011,"Sacher & Staffeldt, 1974",0.386666667,0.035
Chlorocebus_aethiops,Chlorocebus_aethiops,Primates,Others,Cercopithecidae,33.5,314,66.68,3162,162,3.916,Barton & Capellini 2011,Barton & Capellini 2011,AnAge,0.50239952,0.099304238
Chlorocebus_pygerythrus,Chlorocebus_pygerythrus,Primates,Others,Cercopithecidae,33.5,227,67,4600,195,3.916,"Sacher & Staffeldt, 1974","Sacher & Staffeldt, 1974","Sacher & Staffeldt, 1974",0.5,0.049347826
Colobus_polykomos,Colobus_polykomos,Primates,Others,Cercopithecidae,38,340,96,7798,173,4.465,"Sacher & Staffeldt, 1974",Barton & Capellini 2011,PanTHERIA,0.395833333,0.043600923
