Species,BM,WM,DT,RLS,LS,LPY
Acinonyx_jubatus,50577.92,1940,1125.85,6265.23,3.28,0.65
Acomys_airensis,28.77,12.58,44,2455.958333,3.68,3.5
Acomys_cahirinus,41.16,12.58,89,2050.5,2.43,7.6
Acomys_chudeaui,45.2,12.58,44,2673.416667,2.47,3.5
Acomys_cineraceus,45.2,12.58,44,2673.416667,2.47,3.5
Acomys_dimidiatus,43.6,12.58,44,2673.416667,2.47,3.5
Acomys_ignitus,45.2,12.58,44,2673.416667,2.47,3.5
Acomys_johannis,45.2,12.58,44,2673.416667,2.47,3.5
Acomys_kempi,21.99,12.58,44,2673.416667,2.47,3.5
Acomys_minous,62.5,12.58,44,2673.416667,2.47,3.5
Acomys_mullah,43.6,12.58,44,2673.416667,2.47,3.5
Acomys_nesiotes,45.2,12.58,44,2673.416667,2.47,3.5
Acomys_seurati,45.2,12.58,44,2673.416667,2.47,3.5
Acrobates_pygmaeus,13.84,5.65,115.41,2999.09,2.8,2
Aepyceros_melampus,52591.69,15900,580,8614,0.98,0.95
Aethomys_bocagei,45.2,12.58,44,2673.416667,2.47,3.5
Ailuropoda_melanoleuca,117999.99,21999.99,2171.011667,11082.00833,1.62,0.7
Ailurus_fulgens,5170.08,1140,623.54,6174.59,1.7,1
Alcelaphus_buselaphus,160937.86,47894.46,738.97,7284.8,1,1.065
Alcelaphus_caama,176115.97,47894.46,537,7482.5,1,1.065
Alces_alces,461900.76,90250,1117.81,8638.34,1.25,1.7
Alces_americanus,541460.44,94000,581.86684,9165.10316,1,1
Alouatta_coibensis,4540.855,1100,854.4428,1462.225,1,1
Alouatta_macconnelli,5659.14,1100,854.4428,7837.5572,1,0.6
Alouatta_palliata,6576.99,1100,886.53,7742.87,1.02,0.6
Ammospermophilus_harrisii,126.57,45,270.745,3549.625,6.32,1
Ammospermophilus_leucurus,103.92,35,300.49,3723,8,1.25
Ammospermophilus_nelsoni,160.42,41,347.655,1690.763333,8.9,1
Antechinus_agilis,26.25,13,159.18,440.82,6,1
Antechinus_leo,70.09,26,204.4,425.6,8.19,1
Antechinus_stuartii,29.01,16,202.2,1679.341667,6.89,1
Antechinus_swainsonii,58.69,11.915,217.385,901.74,8.24,1
Anthops_ornatus,27.475,15.3,236.27,1546.73,1,1
Antilocapra_americana,47450.01,8900,277.46,5292.5,1.93,1
Antrozous_pallidus,22.24,13.16,315,5037,1.78,1
Aonyx_capensis,19322.22,3360,311.7708333,4818,2.62,1
Aotus_trivirgatus,912.4,360,807.09,10103.2,1.06,1.34
Aplodontia_rufa,806.21,369.76,671.6,2920,2.46,1
Apodemus_alpicola,56.21,8.7,29.41406,1591.08594,5.5,2.8
Apodemus_chevrieri,29.375,8.7,29.41406,1591.08594,5.5,2.8
Apodemus_flavicollis,31.6,8.7,28.59166667,1591.704167,4.94,3
Apodemus_gurkha,42.3,8.7,29.41406,1591.08594,3.36,2
Apodemus_latronum,29.375,8.7,29.41406,1591.08594,5.5,2.8
Apodemus_pallipes,29.4,8.7,29.41406,1883.08594,5.22,2.8
Apodemus_peninsulae,32.9,8.7,29.41406,1883.08594,4.41,2.8
Apodemus_ponticus,23.39,8.7,50.30352,2237.625,5.2,3.8
Apodemus_rusiges,29.375,8.7,29.41406,1591.08594,5.5,2.8
Arctictis_binturong,12999.99,2100,805.2716667,8932.158333,2.5,2
Arctocebus_aureus,234.16,160,186.60116,4446.09,1,1.5
Arctocebus_calabarensis,258.01,160,308.66,4327.08,1.01,1.5
Arctocephalus_australis,67979.43,18583.3,730,10074,1,1
Arctocephalus_forsteri,101249.99,15417.255,1501.28,3650,1,1
Arctocephalus_galapagoensis,39448.04,15000,456.25,6752.5,1,0.5
Arctocephalus_gazella,96599.99,15333.32,1161.22,7117.5,1,1
Arctocephalus_pusillus,178500,26150,738.7,10621.5,1,1
Arctocephalus_townsendi,101063.71,18583.3,765.348,10073.652,1,1
Arctocephalus_tropicalis,92222.55,14866.64,1266.6,6856.32,1.4,1
Artibeus_fraterculus,45.65,33.79,273.37,6725.713335,0.98,2
Artibeus_jamaicensis,43.63,33.79,273.37,6725.713335,1,2
Artibeus_lituratus,59.3,33.79,273.37,6725.713335,1,2
Artibeus_obscurus,35.91,33.79,273.37,6725.713335,0.98,2
Arvicanthis_ansorgei,24.8,8.7,30.5,2256.625,5.19,3.375
Arvicanthis_nairobae,95.8,21.7,29.063,2393.61,5,3.5
Arvicanthis_niloticus,95.8,21.7,39,2385.5,4.86,3.5
Arvicanthis_rufinus,73.34,22.36,32.39352,1847.625,4.86,3.5
Arvicola_amphibius,120,42,351,1460,4.76,3.5
Arvicola_sapidus,219.99,42,36.45724,1773.78158,3.21,3.21
Arvicola_scherman,37.69,42,36.45724,2182.208333,4.435,3
Ateles_chamek,7053.92,3790,794.97974,15199.11886,1,0.5
Ateles_fusciceps,9067.94,2000,1291.2,15016.1,1.01,0.5
