Order,Species,adult_body_mass_g,adult_brain_grams,development_days,Newborn_brain_grams,Newborn_body_grams,Lifespan_years,Lifespan_days,development_fraction,Neobrain_fraction
Artiodactyla,Bison_bison,434678.0467,334,951.34,,,33.5,12227.5,0.077803312,
Artiodactyla,Boselaphus_tragocamelus,153626.52,271.75,912.5,,,21.7,7920.5,0.115207373,
Artiodactyla,Syncerus_caffer,626332.8756,645,1300.315,,,29.8,10877,0.11954721,
Carnivora,Ailurus_fulgens,5310.053333,46.8,691.975,,,19,6935,0.099780101,
Carnivora,Atilax_paludinosus,3500.106667,27.84,198.83,,,20.8,7592,0.02618941,
Carnivora,Canis_latrans,10829.4,84.24,343.145,,,21.8,7957,0.043124921,
Carnivora,Canis_mesomelas,6836.15,50.4,328.5,,,16.7,6095.5,0.053892216,
Carnivora,Caracal_caracal,9817.19,51.9,456.25,,,20.3,7409.5,0.061576355,
Carnivora,Conepatus_leuconotus,3396.955,18.52,319.375,,,10.2,3723,0.085784314,
Carnivora,Crocuta_crocuta,63036.65333,175,818.065,,,41.1,15001.5,0.054532213,
Carnivora,Cryptoprocta_ferox,9500,36.78,1427.5375,,,23.1,8431.5,0.169310028,
Carnivora,Eira_barbara,3423.326667,44.2,617.51844,,,22.3,8139.5,0.075866876,
Carnivora,Ictonyx_striatus,974.0133333,8.17,274.615,,,14,5110,0.053740705,
Carnivora,Leptailurus_serval,9943.48,59.95,851.66,,,23,8395,0.101448481,
Carnivora,Mephitis_mephitis,2228.882222,10.68333333,312.404056,,,13.9,5073.5,0.061575649,
Carnivora,Mustela_erminea,234.25,3.83,64.497816,,,12.5,4562.5,0.014136508,
Carnivora,Mustela_putorius,695.275,6.6,304.368,,,14,5110,0.059563209,
Carnivora,Nasua_narica,5414.215,44.17,699.5833333,,,26.4,9636,0.07260101,
Carnivora,Panthera_onca,67452.06,147,1003.316667,,,28,10220,0.098171885,
Carnivora,Poecilogale_albinucha,318.7733333,4.56,400.6325,,,5.2,1898,0.211081401,
Carnivora,Puma_concolor,45566.03333,106.7,599.31,,,23.8,8687,0.068989294,
Carnivora,Spilogale_putorius,491.3266667,7.33,200.285,,,10.5,3832.5,0.052259622,
Carnivora,Urocyon_cinereoargenteus,3805.473333,37.28,287.48,,,16.2,5913,0.048618299,
Carnivora,Vormela_peregusna,522.065,6.53,91.25,,,8.916666667,3254.583333,0.028037383,
Carnivora,Vulpes_lagopus,3484.685,44.5,365,,,16.3,5949.5,0.061349693,
Chiroptera,Artibeus_jamaicensis,41.58666667,0.93,273.37,,,19.2,7008,0.039008276,
Chiroptera,Carollia_perspicillata,18.15333333,0.47,392.805,,,17,6205,0.063304593,
Chiroptera,Cynopterus_brachyotis,32.24666667,0.88,209.71,,,10.1,3686.5,0.056885935,
Chiroptera,Myotis_myotis,25.39333333,0.48,709.005,,,37.1,13541.5,0.052357937,
Chiroptera,Myotis_nigricans,4.3,0.12,63,,,7,2555,0.024657534,
Chiroptera,Noctilio_leporinus,39.45333333,1.26,280.81,,,11.8,4307,0.065198514,
Chiroptera,Rhinolophus_hipposideros,5.86,0.235,501.87,,,29.4,10731,0.046768242,
Chiroptera,Rousettus_aegyptiacus,132.6666667,2.6,403.75,,,25,9125,0.044246575,
Chiroptera,Saccopteryx_bilineata,8.053333333,0.22,335.005,,,6,2190,0.15297032,
Diprotodontia,Acrobates_pygmaeus,12.19333333,0.3626,164.16,,,8.8,3212,0.051108344,
Diprotodontia,Aepyprymnus_rufescens,2251.655,12.7428,319.37,,,12.8,4672,0.068358305,
Diprotodontia,Bettongia_gaimardi,1536.033333,12.1212,211.34,,,11.8,4307,0.049068958,
Diprotodontia,Bettongia_lesueur,1333.18,10.878,124.185,,,10,3650,0.034023288,
Diprotodontia,Bettongia_penicillata,1116.566667,9.90416,213.95,,,18.8,6862,0.031178957,
Diprotodontia,Bettongia_tropica,1176.053333,9.24112,48.41,,,7,2555,0.018947162,
Diprotodontia,Burramys_parvus,41.71333333,1.036,335.09,,,12,4380,0.076504566,
Diprotodontia,Cercartetus_caudatus,21.8,0.73556,426.98,,,3.2,1168,0.365565068,
Diprotodontia,Cercartetus_nanus,21.9,0.44548,120.83,,,10.3,3759.5,0.032139912,
Diprotodontia,Dendrolagus_inustus,11789.66667,31.1836,145.27,,,23.8,8687,0.016722689,
